Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
1;22951;Journal of Marketing;journal;15477185, 00222429;10,802;Q1;268;58;172;4136;2659;149;12,42;71,31;United States;Northern America;American Marketing Association;1969, 1971, 1973, 1977, 1979-1981, 1995-2022;"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
2;23714;Marketing Science;journal;07322399, 1526548X;7,593;Q1;145;59;169;2478;1141;163;5,08;42;United States;Northern America;INFORMS Institute for Operations Research and the Management Sciences;1996-2022;"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
3;22961;Journal of Marketing Research;journal;00222437, 15477193;7,415;Q1;192;71;180;4405;1511;177;6,13;62,04;United States;Northern America;American Marketing Association;1968, 1995-2022;"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
4;24385;Journal of the Academy of Marketing Science;journal;00920703, 15527824;6,248;Q1;194;87;190;7986;3386;174;19,94;91,79;United States;Northern America;Springer New York;1973-2022;"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
5;22899;Journal of Consumer Research;journal;00935301, 15375277;6,024;Q1;210;36;176;2732;1524;174;6,82;75,89;United Kingdom;Western Europe;Oxford University Press;1977-1978, 1984, 1996-2022;"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Arts and Humanities; Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
6;15631;International Journal of Information Management;journal;2684012;4,906;Q1;152;88;546;9622;13606;529;24,41;109,34;United Kingdom;Western Europe;Elsevier Ltd.;1970, 1986-2023;"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1); Marketing (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
7;4700152287;Academy of Management Perspectives;journal;15589080;4,84;Q1;148;25;103;2499;938;99;9,28;99,96;United States;Northern America;Academy of Management;2006-2022;"Business and International Management (Q1); Marketing (Q1); Strategy and Management (Q1)";Business, Management and Accounting
8;22928;Journal of Interactive Marketing;journal;10949968, 15206653;4,092;Q1;120;33;100;2564;1398;100;13,62;77,7;United States;Northern America;SAGE Publications Inc.;1997-2022;"Business and International Management (Q1); Marketing (Q1)";Business, Management and Accounting
9;100147317;Journal of Supply Chain Management;journal;15232409, 1745493X;4,009;Q1;104;22;56;2133;634;53;12,58;96,95;United States;Northern America;Wiley-Blackwell;1999-2022;"Economics, Econometrics and Finance (miscellaneous) (Q1); Information Systems (Q1); Management Information Systems (Q1); Marketing (Q1)";"Business, Management and Accounting; Computer Science; Economics, Econometrics and Finance"
10;22833;International Journal of Research in Marketing;journal;1678116;3,896;Q1;115;73;151;5914;1359;144;7,5;81,01;Netherlands;Western Europe;Elsevier;1984-2022;Marketing (Q1);Business, Management and Accounting
11;22990;Journal of Retailing;journal;224359;3,787;Q1;153;47;126;3397;1295;105;10,02;72,28;United Kingdom;Western Europe;Elsevier BV;1993-2022;Marketing (Q1);Business, Management and Accounting
12;30718;Annals of Tourism Research;journal;1607383;3,426;Q1;201;145;543;8292;6447;529;11,74;57,19;United Kingdom;Western Europe;Elsevier Ltd.;1973-2022;"Business and International Management (Q1); Development (Q1); Marketing (Q1); Tourism, Leisure and Hospitality Management (Q1)";"Business, Management and Accounting; Social Sciences"
13;15823;Journal of Public Administration Research and Theory;journal;14779803, 10531858;3,337;Q1;129;35;127;2892;817;126;5,47;82,63;United Kingdom;Western Europe;Oxford University Press;1991-2022;"Marketing (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Social Sciences"
14;17167;Public Administration Review;journal;00333352, 15406210;3,311;Q1;163;128;328;7884;2512;270;8,3;61,59;United Kingdom;Western Europe;Wiley-Blackwell;1978-1983, 1985, 1988, 1996-2022;"Marketing (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Social Sciences"
15;21100781509;Journal of Public Policy and Marketing;journal;07439156, 15477207;3,263;Q1;85;29;113;1718;815;85;6,7;59,24;United States;Northern America;American Marketing Association;1995-2022;"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
16;29400;Journal of World Business;journal;10909516;3,245;Q1;132;64;169;7276;1823;164;10,43;113,69;United States;Northern America;Elsevier Inc.;1997-2023;"Business and International Management (Q1); Finance (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
17;28181;Journal of Consumer Psychology;journal;15327663, 10577408;2,978;Q1;130;62;158;3544;842;151;4,69;57,16;United States;Northern America;"John Wiley &amp; Sons Inc.";1992-2022;"Applied Psychology (Q1); Marketing (Q1)";"Business, Management and Accounting; Psychology"
18;20550;Journal of Business Research;journal;1482963;2,895;Q1;236;945;2331;91165;32690;2283;13,44;96,47;United States;Northern America;Elsevier Inc.;1973-2023;Marketing (Q1);Business, Management and Accounting
19;19700201414;Journal of Research in Interactive Marketing;journal;20407122;2,833;Q1;50;58;90;3761;1112;90;13,58;64,84;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;2010-2022;Marketing (Q1);Business, Management and Accounting
20;22792;Industrial Marketing Management;journal;198501;2,658;Q1;161;240;675;22951;7206;622;10,66;95,63;United States;Northern America;Elsevier Inc.;1971-2022;Marketing (Q1);Business, Management and Accounting
21;21100932830;Journal of Innovation and Knowledge;journal;2444569X, 25307614;2,649;Q1;39;118;93;9020;1727;93;20,31;76,44;Netherlands;Western Europe;Elsevier BV;2016-2022;"Business and International Management (Q1); Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
22;28179;Journal of Advertising;journal;15577805, 00913367;2,606;Q1;126;72;132;5013;1104;120;6,97;69,63;United States;Northern America;M.E. Sharpe Inc.;1972-2022;"Business and International Management (Q1); Communication (Q1); Marketing (Q1)";"Business, Management and Accounting; Social Sciences"
23;22992;Journal of Retailing and Consumer Services;journal;9696989;2,543;Q1;120;339;967;28336;12434;958;12,4;83,59;United Kingdom;Western Europe;Elsevier Ltd.;1994-2023;Marketing (Q1);Business, Management and Accounting
24;19700183600;Journal of Hospitality Marketing and Management;journal;19368631, 19368623;2,52;Q1;67;45;139;4040;1920;135;15,12;89,78;United States;Northern America;Routledge;2010-2022;"Management Information Systems (Q1); Marketing (Q1); Tourism, Leisure and Hospitality Management (Q1)";Business, Management and Accounting
25;21100886545;Journal of Interactive Advertising;journal;15252019;2,505;Q1;15;22;62;1623;653;57;5,84;73,77;United Kingdom;Western Europe;Taylor and Francis Ltd.;2018-2022;"Communication (Q1); Marketing (Q1)";"Business, Management and Accounting; Social Sciences"
26;20209;Business Horizons;journal;76813;2,475;Q1;106;71;230;2736;2511;174;8,48;38,54;United Kingdom;Western Europe;Elsevier Ltd.;1957-2022;"Business and International Management (Q1); Marketing (Q1)";Business, Management and Accounting
27;23665;International Business Review;journal;9695931;2,455;Q1;114;98;256;9895;2611;254;10,3;100,97;United Kingdom;Western Europe;Elsevier Ltd.;1993-2022;"Business and International Management (Q1); Finance (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
28;14812;Journal of Travel and Tourism Marketing;journal;10548408, 15407306;2,126;Q1;95;36;202;3149;2014;199;7,72;87,47;United States;Northern America;Routledge;1992-2022;"Marketing (Q1); Tourism, Leisure and Hospitality Management (Q1)";Business, Management and Accounting
29;22972;Journal of Purchasing and Supply Management;journal;14784092;2,092;Q1;95;33;119;3159;1030;111;6,33;95,73;United Kingdom;Western Europe;Elsevier Ltd.;2003-2022;"Marketing (Q1); Strategy and Management (Q1)";Business, Management and Accounting
30;22944;Journal of International Marketing;journal;15477215, 1069031X;2,088;Q1;102;26;64;2276;431;58;5,42;87,54;United States;Northern America;American Marketing Association;1995-2022;"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
31;14014;Psychology and Marketing;journal;07426046, 15206793;2,083;Q1;133;152;358;13813;2645;349;7,61;90,88;United States;Northern America;Wiley-Liss Inc.;1984-2022;"Applied Psychology (Q1); Marketing (Q1)";"Business, Management and Accounting; Psychology"
32;10600153348;International Journal of Advertising;journal;17593948, 02650487;2,081;Q1;74;105;201;7772;1518;178;8,22;74,02;United Kingdom;Western Europe;Taylor and Francis Ltd.;1982-2022;"Communication (Q1); Marketing (Q1)";"Business, Management and Accounting; Social Sciences"
33;21100228536;Journal of Destination Marketing and Management;journal;2212571X;1,936;Q1;63;42;283;3831;2909;281;10,11;91,21;United Kingdom;Western Europe;Elsevier Ltd.;2012-2022;"Business and International Management (Q1); Marketing (Q1); Strategy and Management (Q1); Tourism, Leisure and Hospitality Management (Q1)";Business, Management and Accounting
34;17700155010;Australasian Marketing Journal;journal;14413582, 18393349;1,811;Q1;49;57;128;3729;1206;118;7,69;65,42;Australia;Pacific Region;SAGE Publications Ltd;2003-2022;"Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
35;5700167235;International Journal of Consumer Studies;journal;14706423, 14706431;1,753;Q1;88;154;180;17814;1954;179;12;115,68;United Kingdom;Western Europe;Wiley-Blackwell Publishing Ltd;2001-2022;"Applied Psychology (Q1); Economics and Econometrics (Q1); Marketing (Q1); Public Health, Environmental and Occupational Health (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance; Medicine; Psychology"
36;16051;American Review of Public Administration;journal;15523357, 02750740;1,745;Q1;69;36;190;2917;1143;186;6,25;81,03;United States;Northern America;SAGE Publications Inc.;1967-1983, 1987-2022;"Marketing (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Social Sciences"
37;16800154723;Marketing Theory;journal;14705931, 1741301X;1,693;Q1;77;45;91;3712;432;78;4,23;82,49;United Kingdom;Western Europe;SAGE Publications Ltd;2001-2022;Marketing (Q1);Business, Management and Accounting
38;21101041413;AMS Review;journal;18698182, 1869814X;1,687;Q1;25;27;93;1450;502;60;6,3;53,7;United States;Northern America;Springer New York;2011-2022;Marketing (Q1);Business, Management and Accounting
39;23687;Marketing Letters;journal;1573059X, 09230645;1,672;Q1;80;66;104;2061;442;99;3,83;31,23;United States;Northern America;Springer New York;1989-2022;"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
40;19700187623;Journal of Marketing Management;journal;0267257X, 14721376;1,664;Q1;82;116;230;10589;1400;198;5,26;91,28;United Kingdom;Western Europe;Taylor and Francis Ltd.;1985-1997, 2001, 2006, 2008-2022;"Marketing (Q1); Strategy and Management (Q1)";Business, Management and Accounting
41;22199;European Journal of Marketing;journal;3090566;1,63;Q1;146;149;368;13415;2615;355;4,66;90,03;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;1967-2022;Marketing (Q1);Business, Management and Accounting
42;130049;Journal of Services Marketing;journal;8876045;1,577;Q1;119;85;232;6961;1426;224;5,02;81,89;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;1987-2022;Marketing (Q1);Business, Management and Accounting
43;19600157911;Electronic Markets;journal;14228890, 10196781;1,545;Q1;49;132;166;12196;1526;140;9,52;92,39;Germany;Western Europe;Springer Verlag;2009-2022;"Business and International Management (Q1); Computer Science Applications (Q1); Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Marketing (Q1)";"Business, Management and Accounting; Computer Science; Economics, Econometrics and Finance"
44;12100156754;Sport Management Review;journal;14413523;1,513;Q1;70;58;164;4026;1065;163;5,8;69,41;United Kingdom;Western Europe;Taylor and Francis Ltd.;1998-2022;"Business and International Management (Q1); Management Science and Operations Research (Q1); Marketing (Q1); Organizational Behavior and Human Resource Management (Q1); Sports Science (Q1); Strategy and Management (Q1); Tourism, Leisure and Hospitality Management (Q1)";"Business, Management and Accounting; Decision Sciences; Health Professions"
45;144981;Quantitative Marketing and Economics;journal;15707156, 1573711X;1,437;Q1;37;12;38;537;52;38;1,42;44,75;Netherlands;Western Europe;Kluwer Academic Publishers;2005-2022;"Economics, Econometrics and Finance (miscellaneous) (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
46;29139;Public Relations Review;journal;3638111;1,432;Q1;96;84;282;6617;1502;280;4,7;78,77;Netherlands;Western Europe;Elsevier BV;1975-2022;"Communication (Q1); Marketing (Q1); Organizational Behavior and Human Resource Management (Q1)";"Business, Management and Accounting; Social Sciences"
47;144666;Journal of Product and Brand Management;journal;10610421;1,427;Q1;97;96;217;9108;1576;209;7,1;94,88;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;1992-2022;"Management of Technology and Innovation (Q1); Marketing (Q1); Strategy and Management (Q1)";Business, Management and Accounting
48;22965;Journal of Personal Selling and Sales Management;journal;15577813, 08853134;1,372;Q1;75;38;74;2974;369;68;4,25;78,26;United Kingdom;Western Europe;Taylor and Francis Ltd.;1981-2022;"Business and International Management (Q1); Human Factors and Ergonomics (Q1); Management of Technology and Innovation (Q1); Marketing (Q1)";"Business, Management and Accounting; Social Sciences"
49;22839;International Marketing Review;journal;2651335;1,309;Q1;103;78;167;7721;1096;159;5,95;98,99;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;1983-2022;"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
50;15057;Electronic Commerce Research and Applications;journal;15674223;1,307;Q1;91;93;251;6466;2076;251;6,81;69,53;Netherlands;Western Europe;Elsevier;2002-2022;"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Management of Technology and Innovation (Q1); Marketing (Q1)";"Business, Management and Accounting; Computer Science"
51;19088;Governance;journal;09521895, 14680491;1,305;Q1;88;94;148;5720;598;148;3,4;60,85;United Kingdom;Western Europe;Wiley-Blackwell Publishing Ltd;1988-2022;"Marketing (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Social Sciences"
52;19700190346;Consumption Markets and Culture;journal;10253866, 1477223X;1,281;Q1;36;42;104;3114;355;101;3,16;74,14;United States;Northern America;Routledge;2003, 2007, 2010-2022;"Anthropology (Q1); Economics and Econometrics (Q1); Marketing (Q1); Social Psychology (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance; Psychology; Social Sciences"
53;22920;Journal of Fashion Marketing and Management;journal;13612026;1,271;Q1;61;75;112;5248;793;110;5,8;69,97;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;1996-2022;"Business and International Management (Q1); Marketing (Q1)";Business, Management and Accounting
54;16032;Administration and Society;journal;00953997, 15523039;1,238;Q2;72;82;189;5804;665;175;2,63;70,78;United States;Northern America;SAGE Publications Inc.;1969-2022;"Public Administration (Q1); Sociology and Political Science (Q1); Marketing (Q2)";"Business, Management and Accounting; Social Sciences"
55;21101021052;Journal of the Association for Consumer Research;journal;23781823, 23781815;1,2;Q2;24;50;135;2102;313;123;2,46;42,04;United States;Northern America;University of Chicago Press;2016-2022;"Applied Psychology (Q1); Economics and Econometrics (Q1); Marketing (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance; Psychology"
56;144670;Marketing Intelligence and Planning;journal;2634503;1,15;Q2;80;66;186;4115;1103;185;5,57;62,35;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;1983-2022;Marketing (Q2);Business, Management and Accounting
57;21100286445;Journal of Current Issues and Research in Advertising;journal;10641734, 21647313;1,141;Q2;40;27;62;2175;271;61;3,89;80,56;United Kingdom;Western Europe;Taylor and Francis Ltd.;1992-2010, 2012-2022;Marketing (Q2);Business, Management and Accounting
58;21101074921;Annals of Tourism Research Empirical Insights;journal;26669579;1,096;Q2;8;47;27;2362;127;27;4,7;50,26;Netherlands;Western Europe;Elsevier BV;2020-2022;"Geography, Planning and Development (Q1); Sociology and Political Science (Q1); Tourism, Leisure and Hospitality Management (Q1); Marketing (Q2)";"Business, Management and Accounting; Social Sciences"
59;21100465205;European Research on Management and Business Economics;journal;24448834;1,095;Q2;27;30;69;3012;557;69;7,36;100,4;Spain;Western Europe;European Academy of Management and Business Economics;2016-2023;"Business and International Management (Q1); Economics and Econometrics (Q1); Strategy and Management (Q1); Marketing (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
60;17700156769;Journal of Brand Management;journal;14791803, 1350231X;1,09;Q2;62;44;140;4406;845;137;5,68;100,14;United Kingdom;Western Europe;Palgrave Macmillan Ltd.;2005, 2008-2022;"Strategy and Management (Q1); Marketing (Q2)";Business, Management and Accounting
61;145229;International Journal of Bank Marketing;journal;2652323;1,088;Q2;96;72;225;7225;1830;221;6,73;100,35;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;1983-2022;Marketing (Q2);Business, Management and Accounting
62;28180;Journal of Advertising Research;journal;00218499, 17401909;1,041;Q2;94;29;113;1714;333;97;2,46;59,1;United Kingdom;Western Europe;The Advertising Research Foundation;1972, 1996-2022;"Communication (Q1); Marketing (Q2)";"Business, Management and Accounting; Social Sciences"
63;21100830431;Service Science;journal;21643970, 21643962;1,016;Q2;21;15;45;925;149;44;2,41;61,67;United States;Northern America;INFORMS Institute for Operations Research and the Management Sciences;2015-2022;"Business and International Management (Q1); Management Science and Operations Research (Q1); Modeling and Simulation (Q1); Marketing (Q2)";"Business, Management and Accounting; Decision Sciences; Mathematics"
64;22954;Journal of Marketing Communications;journal;14664445, 13527266;1,012;Q2;56;81;141;6536;692;141;4,56;80,69;United Kingdom;Western Europe;Routledge;1995-2022;"Business and International Management (Q1); Marketing (Q2)";Business, Management and Accounting
65;21100395911;Asia Pacific Journal of Marketing and Logistics;journal;13555855, 17584248;0,994;Q2;57;190;269;14015;1718;264;6,1;73,76;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;1993-2022;"Business and International Management (Q1); Strategy and Management (Q1); Marketing (Q2)";Business, Management and Accounting
66;144921;International Journal of Retail and Distribution Management;journal;9590552;0,986;Q2;94;89;233;6738;1406;230;5,5;75,71;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;1990-2022;"Business and International Management (Q1); Tourism, Leisure and Hospitality Management (Q1); Marketing (Q2)";Business, Management and Accounting
67;21100778661;European Journal of Management and Business Economics;journal;24448451, 24448494;0,905;Q2;25;41;67;3154;383;65;4,59;76,93;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;2016-2022;"Business and International Management (Q1); Finance (Q1); Strategy and Management (Q1); Tourism, Leisure and Hospitality Management (Q1); Marketing (Q2); Organizational Behavior and Human Resource Management (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
68;5000153402;Journal of Marketing Theory and Practice;journal;10696679;0,898;Q2;56;59;99;5524;408;97;3,54;93,63;United Kingdom;Western Europe;Taylor and Francis Ltd.;2005-2022;Marketing (Q2);Business, Management and Accounting
69;17900156718;Journal of Strategic Marketing;journal;0965254X, 14664488;0,898;Q2;61;90;192;6933;968;190;4,71;77,03;United Kingdom;Western Europe;Routledge;1984, 1993-2022;"Strategy and Management (Q1); Marketing (Q2)";Business, Management and Accounting
70;22236;Journal of the Operational Research Society;journal;01605682, 14769360;0,891;Q2;120;292;503;13447;1884;495;3,95;46,05;United Kingdom;Western Europe;Taylor and Francis Ltd.;1978-2022;"Management Information Systems (Q1); Management Science and Operations Research (Q1); Modeling and Simulation (Q1); Marketing (Q2); Statistics, Probability and Uncertainty (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences; Mathematics"
71;21100853526;ACM Transactions on Economics and Computation;journal;21678375, 21678383;0,888;Q2;19;5;68;181;170;64;1,47;36,2;United States;Northern America;Association for Computing Machinery (ACM);2013-2022;"Computer Science (miscellaneous) (Q1); Statistics and Probability (Q1); Computational Mathematics (Q2); Economics and Econometrics (Q2); Marketing (Q2)";"Business, Management and Accounting; Computer Science; Economics, Econometrics and Finance; Mathematics"
72;4700152756;Journal of Relationship Marketing;journal;15332675, 15332667;0,888;Q2;29;13;43;1081;238;43;6,7;83,15;United States;Northern America;Routledge;2002-2022;Marketing (Q2);Business, Management and Accounting
73;5700161512;Journal of Consumer Culture;journal;14695405, 17412900;0,886;Q2;61;81;111;4581;349;108;3,39;56,56;United Kingdom;Western Europe;SAGE Publications Ltd;2001-2022;"Arts and Humanities (miscellaneous) (Q1); Business and International Management (Q1); Sociology and Political Science (Q1); Economics and Econometrics (Q2); Marketing (Q2); Social Psychology (Q2)";"Arts and Humanities; Business, Management and Accounting; Economics, Econometrics and Finance; Psychology; Social Sciences"
74;21100855756;Spanish Journal of Marketing - ESIC;journal;24449709, 24449695;0,876;Q2;23;28;62;1877;351;62;5,83;67,04;Spain;Western Europe;Emerald Group Publishing Ltd.;2016-2022;Marketing (Q2);Business, Management and Accounting
75;21100435972;Journal of Global Fashion Marketing;journal;20932685, 23254483;0,858;Q2;27;27;73;1397;305;73;4,26;51,74;United Kingdom;Western Europe;Taylor and Francis Ltd.;2010-2022;"Cultural Studies (Q1); Management of Technology and Innovation (Q2); Marketing (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Social Sciences"
76;22893;Journal of Business and Industrial Marketing;journal;8858624;0,851;Q2;78;208;504;19823;2209;488;4,08;95,3;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;1986-2022;"Business and International Management (Q1); Marketing (Q2)";Business, Management and Accounting
77;22925;Journal of Global Marketing;journal;08911762, 15286975;0,849;Q2;38;25;79;2321;315;70;3,88;92,84;United States;Northern America;Routledge;1987-2022;"Business and International Management (Q1); Marketing (Q2)";Business, Management and Accounting
78;22897;Journal of Consumer Marketing;journal;7363761;0,845;Q2;113;64;235;5042;890;235;3,3;78,78;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;1984-2022;"Business and International Management (Q1); Marketing (Q2)";Business, Management and Accounting
79;21100446531;Journal of Entrepreneurship in Emerging Economies;journal;20534604, 20534612;0,824;Q2;28;126;127;12131;768;127;5,87;96,28;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;2014-2022;"Business and International Management (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Marketing (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
80;19713;Journal of High Technology Management Research;journal;10478310;0,823;Q2;53;8;44;592;251;44;4,75;74;United Kingdom;Western Europe;Elsevier BV;1990-2022;"Computer Science Applications (Q2); Information Systems and Management (Q2); Management of Technology and Innovation (Q2); Marketing (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences"
81;144958;Journal of Macromarketing;journal;2761467;0,82;Q2;62;46;120;3962;427;111;3,47;86,13;United States;Northern America;SAGE Publications Inc.;1981-2022;Marketing (Q2);Business, Management and Accounting
82;25524;Social Marketing Quarterly;journal;15394093, 15245004;0,817;Q2;33;21;71;942;256;62;3,14;44,86;United States;Northern America;SAGE Publications Inc.;1994-2022;"Economics and Econometrics (Q2); Marketing (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
83;4700152295;Journal of Promotion Management;journal;10496491;0,807;Q2;37;61;146;4810;630;144;4,37;78,85;United Kingdom;Western Europe;Taylor and Francis Ltd.;1992-1997, 1999-2002, 2004, 2006-2022;Marketing (Q2);Business, Management and Accounting
