Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
84;21100834347;Journal of Marketing Analytics;journal;20503318, 20503326;0,792;Q2;16;75;69;5107;349;58;3,73;68,09;Switzerland;Western Europe;Springer International Publishing AG;2013-2022;"Economics, Econometrics and Finance (miscellaneous) (Q1); Marketing (Q2); Statistics, Probability and Uncertainty (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance"
85;22819;International Journal of Market Research;journal;25152173, 14707853;0,771;Q2;61;50;161;3062;562;141;3,49;61,24;United Kingdom;Western Europe;Market Research Society;1996-2022;"Business and International Management (Q2); Economics and Econometrics (Q2); Marketing (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
86;144957;Journal of Marketing Education;journal;02734753, 15526550;0,743;Q2;63;33;76;2340;294;67;2,93;70,91;United States;Northern America;SAGE Publications Inc.;1979-2022;"Education (Q1); Marketing (Q2)";"Business, Management and Accounting; Social Sciences"
87;4700152801;Journal of International Consumer Marketing;journal;08961530, 15287068;0,734;Q2;53;50;99;4221;438;94;4,97;84,42;United States;Northern America;Routledge;1988-1993, 1995-2022;"Management Information Systems (Q1); Marketing (Q2)";Business, Management and Accounting
88;3900148211;International Journal of Integrated Supply Management;journal;14775360, 17418097;0,718;Q2;22;18;49;1467;193;48;4,33;81,5;United Kingdom;Western Europe;Inderscience Enterprises Ltd.;2005-2022;"Marketing (Q2); Strategy and Management (Q2)";Business, Management and Accounting
89;22844;International Review of Retail, Distribution and Consumer Research;journal;09593969, 14664402;0,693;Q2;46;44;85;2914;340;82;4,29;66,23;United Kingdom;Western Europe;Routledge;1990-2022;"Business and International Management (Q2); Economics and Econometrics (Q2); Marketing (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
90;12100154706;Baltic Journal of Management;journal;17465265;0,661;Q2;33;45;120;2984;404;118;3,46;66,31;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;2006-2022;"Business and International Management (Q2); Management of Technology and Innovation (Q2); Marketing (Q2); Organizational Behavior and Human Resource Management (Q2); Strategy and Management (Q2)";Business, Management and Accounting
91;21100236016;Journal of Islamic Marketing;journal;17590833, 17590841;0,653;Q2;49;213;270;18243;1490;269;5,45;85,65;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;2010-2022;Marketing (Q2);Business, Management and Accounting
92;21100242210;Journal of Social Marketing;journal;20426763, 20426771;0,642;Q2;30;32;85;2489;284;81;2,71;77,78;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;2011-2022;"Management of Technology and Innovation (Q2); Marketing (Q2)";Business, Management and Accounting
93;19200157038;International Journal of Sports Marketing and Sponsorship;journal;14646668;0,621;Q2;29;58;120;4238;431;120;3,02;73,07;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;2007-2022;"Business and International Management (Q2); Finance (Q2); Marketing (Q2); Sports Science (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance; Health Professions"
94;4700152279;Journal of Marketing for Higher Education;journal;15407144, 08841241;0,619;Q2;42;56;82;4380;360;82;4,14;78,21;United States;Northern America;Routledge;1988-1991, 1993-2022;"Education (Q2); Marketing (Q2)";"Business, Management and Accounting; Social Sciences"
95;21385;Canadian Journal of Administrative Sciences;journal;19364490, 08250383;0,602;Q2;55;48;116;3475;296;115;2,65;72,4;United States;Northern America;Wiley-Blackwell;1984-1990, 1996-2022;"Business and International Management (Q2); Management of Technology and Innovation (Q2); Marketing (Q2); Public Administration (Q2)";"Business, Management and Accounting; Social Sciences"
96;17600155397;International Journal of Design;journal;1994036X, 19913761;0,597;Q2;48;20;58;1506;159;56;2,33;75,3;Taiwan;Asiatic Region;National Taiwan University of Science and Technology;2007-2022;"Visual Arts and Performing Arts (Q1); Computer Graphics and Computer-Aided Design (Q2); Computer Science Applications (Q2); Industrial and Manufacturing Engineering (Q2); Marketing (Q2); Strategy and Management (Q2)";"Arts and Humanities; Business, Management and Accounting; Computer Science; Engineering"
97;4700152786;Journal of Political Marketing;journal;15377857, 15377865;0,595;Q2;29;22;76;1173;106;70;1,44;53,32;United States;Northern America;Routledge;2002-2022;"Sociology and Political Science (Q1); Marketing (Q2)";"Business, Management and Accounting; Social Sciences"
98;21100794012;Public Relations Inquiry;journal;20461488, 2046147X;0,582;Q2;16;22;57;1600;136;49;2,18;72,73;United States;Northern America;SAGE Publications Inc.;2014-2022;"Communication (Q1); Linguistics and Language (Q1); Marketing (Q2); Organizational Behavior and Human Resource Management (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Social Sciences"
99;144655;Qualitative Market Research;journal;13522752;0,579;Q2;63;42;126;2921;343;118;2,19;69,55;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;1998-2022;Marketing (Q2);Business, Management and Accounting
100;21100904410;South Asian Journal of Business Studies;journal;2398628X, 23986298;0,543;Q2;19;44;83;3714;324;78;3,25;84,41;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;2017-2022;"Cultural Studies (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Business and International Management (Q2); Geography, Planning and Development (Q2); Marketing (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
101;21100855822;Cogent Business and Management;journal;23311975;0,524;Q2;32;410;616;28811;2299;615;3,76;70,27;United Kingdom;Western Europe;Cogent OA;2014-2022;"Accounting (Q2); Business and International Management (Q2); Business, Management and Accounting (miscellaneous) (Q2); Marketing (Q2); Organizational Behavior and Human Resource Management (Q2); Strategy and Management (Q2); Management Science and Operations Research (Q3)";"Business, Management and Accounting; Decision Sciences"
102;4700152803;Journal of Business-to-Business Marketing;journal;15470628, 1051712X;0,519;Q2;34;22;71;1900;189;70;1,35;86,36;United States;Northern America;Routledge;1992-2022;"Management Information Systems (Q2); Marketing (Q2)";Business, Management and Accounting
103;21100446515;Sport, Business and Management: An International Journal;journal;20426798, 2042678X;0,505;Q2;23;47;94;3208;228;90;2,24;68,26;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;2011-2022;"Business and International Management (Q2); Marketing (Q2); Strategy and Management (Q2); Tourism, Leisure and Hospitality Management (Q2)";Business, Management and Accounting
104;21100899438;Communication Research and Practice;journal;22063374;0,502;Q2;13;31;81;1442;138;67;1,08;46,52;United Kingdom;Western Europe;Taylor and Francis Ltd.;2016, 2018-2022;"Political Science and International Relations (Q1); Communication (Q2); Computer Networks and Communications (Q2); Marketing (Q2); Human-Computer Interaction (Q3)";"Business, Management and Accounting; Computer Science; Social Sciences"
105;21100242603;Journal of Place Management and Development;journal;17538343, 17538335;0,471;Q2;34;32;89;2400;208;85;2,12;75;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;2008-2022;"Business and International Management (Q2); Geography, Planning and Development (Q2); Marketing (Q2); Strategy and Management (Q2); Tourism, Leisure and Hospitality Management (Q2); Urban Studies (Q2)";"Business, Management and Accounting; Social Sciences"
106;17700156768;Place Branding and Public Diplomacy;journal;17518040, 17518059;0,467;Q3;31;68;97;3074;205;91;1,52;45,21;United Kingdom;Western Europe;Palgrave Macmillan Ltd.;2008-2022;"Strategy and Management (Q2); Marketing (Q3)";Business, Management and Accounting
107;20607;Journal of Food Products Marketing;journal;15404102, 10454446;0,466;Q3;34;20;106;1490;344;106;3,31;74,5;United States;Northern America;Routledge;1992-2022;"Business and International Management (Q2); Food Science (Q2); Marketing (Q3)";"Agricultural and Biological Sciences; Business, Management and Accounting"
108;21100838559;Fashion and Textiles;journal;21980802;0,46;Q3;25;46;111;2265;362;110;2,79;49,24;Singapore;Asiatic Region;Springer Singapore;2014-2022;"Cultural Studies (Q1); Materials Science (miscellaneous) (Q2); Strategy and Management (Q2); Marketing (Q3); Social Psychology (Q3)";"Business, Management and Accounting; Materials Science; Psychology; Social Sciences"
109;18000156701;International Journal of Pharmaceutical and Healthcare Marketing;journal;17506123;0,46;Q3;28;32;95;2226;214;94;1,97;69,56;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;2007-2022;"Health Policy (Q3); Marketing (Q3)";"Business, Management and Accounting; Medicine"
110;17700156753;Journal of Financial Services Marketing;journal;14791846, 13630539;0,457;Q3;25;81;41;6510;197;40;5,12;80,37;United Kingdom;Western Europe;Palgrave Macmillan Ltd.;2004, 2009-2022;"Finance (Q2); Marketing (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
111;21101023216;Foreign Trade Review;journal;00157325, 09717633;0,451;Q3;10;37;76;1476;125;64;1,55;39,89;India;Asiatic Region;Sage Publications India Pvt. Ltd;1966-2022;"Business and International Management (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); Marketing (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
112;21101061456;Journal of Tourism, Heritage and Services Marketing;journal;25291947;0,434;Q3;6;2;31;98;61;26;2,5;49;Greece;Western Europe;International Hellenic University;2021-2022;"Geography, Planning and Development (Q2); Marketing (Q3); Tourism, Leisure and Hospitality Management (Q3)";"Business, Management and Accounting; Social Sciences"
113;21100262412;Journal of Research in Marketing and Entrepreneurship;journal;14715201;0,424;Q3;27;29;41;2784;115;41;2,13;96;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;1999-2007, 2009-2022;"Business and International Management (Q2); Marketing (Q3); Strategy and Management (Q3)";Business, Management and Accounting
114;13088;International Journal of Applied Ceramic Technology;journal;1546542X, 17447402;0,419;Q3;66;353;758;13997;1886;755;2,49;39,65;United States;Northern America;Wiley-Blackwell;2004-2022;"Materials Chemistry (Q2); Ceramics and Composites (Q3); Condensed Matter Physics (Q3); Marketing (Q3)";"Business, Management and Accounting; Materials Science; Physics and Astronomy"
115;40720;Journal of International Food and Agribusiness Marketing;journal;08974438, 15286983;0,408;Q3;28;57;83;3568;207;82;2,29;62,6;United States;Northern America;Routledge;1989-2022;"Business and International Management (Q2); Food Science (Q2); Marketing (Q3)";"Agricultural and Biological Sciences; Business, Management and Accounting"
116;21101071063;Revista de Gestao;journal;18092276, 21778736;0,396;Q3;13;46;72;2254;155;67;1,67;49;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;2018-2022;"Business and International Management (Q2); Management Information Systems (Q2); Management of Technology and Innovation (Q3); Marketing (Q3)";Business, Management and Accounting
117;13691;Journal of Vinyl and Additive Technology;journal;15480585, 10835601;0,389;Q3;40;82;214;4089;578;212;2,88;49,87;United Kingdom;Western Europe;John Wiley and Sons Ltd;1984-1989, 1992-2022;"Chemical Engineering (miscellaneous) (Q2); Chemistry (miscellaneous) (Q2); Polymers and Plastics (Q2); Marketing (Q3); Materials Chemistry (Q3)";"Business, Management and Accounting; Chemical Engineering; Chemistry; Materials Science"
118;5700161163;Organizacija;journal;13185454;0,376;Q3;14;21;64;1278;159;64;2,24;60,86;Slovenia;Eastern Europe;Fakulteta za Organizacijske Vede, Univerza v Mariboru;2016-2022;"Business and International Management (Q2); Management Information Systems (Q2); Marketing (Q3); Organizational Behavior and Human Resource Management (Q3); Strategy and Management (Q3); Tourism, Leisure and Hospitality Management (Q3)";Business, Management and Accounting
119;17500155141;International Review on Public and Nonprofit Marketing;journal;18651992, 18651984;0,366;Q3;22;56;70;4243;158;70;2,29;75,77;Germany;Western Europe;Springer Verlag;2001, 2009-2022;"Economics and Econometrics (Q3); Marketing (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
120;21101041707;Journal of Creating Value;journal;23949643, 2454213X;0,356;Q3;12;25;69;767;102;50;1,1;30,68;United States;Northern America;SAGE Publications Inc.;2015-2022;"Business and International Management (Q3); Business, Management and Accounting (miscellaneous) (Q3); Marketing (Q3)";Business, Management and Accounting
121;4700152754;Journal of Nonprofit and Public Sector Marketing;journal;15406997, 10495142;0,346;Q3;37;41;80;3282;149;79;1,84;80,05;United States;Northern America;Routledge;1993-2022;Marketing (Q3);Business, Management and Accounting
122;21100902638;Contemporary Management Research;journal;18135498;0,345;Q3;7;3;31;235;60;31;2,18;78,33;Taiwan;Asiatic Region;Academy of Taiwan Information Systems Research;2018-2021;"Economics and Econometrics (Q3); Management Information Systems (Q3); Management, Monitoring, Policy and Law (Q3); Management of Technology and Innovation (Q3); Marketing (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance; Environmental Science"
123;21101040211;Forum Scientiae Oeconomia;journal;23534435, 23005947;0,326;Q3;12;39;79;2496;167;79;2,53;64;Poland;Eastern Europe;WSB University;2017-2022;"Business and International Management (Q3); Economics and Econometrics (Q3); Marketing (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
124;21100945715;Journal of International Logistics and Trade;journal;25087592, 17382122;0,321;Q3;6;10;47;579;64;45;1,63;57,9;South Korea;Asiatic Region;Jungseok Research Institute of International Logistics and Trade;2018-2022;"Economics and Econometrics (Q3); Management Information Systems (Q3); Management Science and Operations Research (Q3); Marketing (Q3); Transportation (Q3)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Social Sciences"
125;6200180168;International Journal of Electronic Marketing and Retailing;journal;17411025, 17411033;0,32;Q3;14;30;64;2203;120;63;1,62;73,43;United Kingdom;Western Europe;Inderscience Enterprises Ltd;2006-2022;"Business and International Management (Q3); Management Information Systems (Q3); Marketing (Q3)";Business, Management and Accounting
126;7100153137;Transformations in Business and Economics;journal;16484460;0,313;Q3;26;102;296;5160;441;281;1,44;50,59;Lithuania;Eastern Europe;Vilnius University Press;2006-2022;"Political Science and International Relations (Q2); Social Sciences (miscellaneous) (Q2); Business and International Management (Q3); Economics and Econometrics (Q3); Marketing (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
127;21101045047;Journal of Philanthropy and Marketing;journal;26911361;0,311;Q3;19;41;88;2795;123;86;1,15;68,17;United States;Northern America;John Wiley and Sons Inc.;2021-2022;"Economics and Econometrics (Q3); Marketing (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
128;21101023274;Finance;journal;21010145, 07526180;0,31;Q3;2;4;29;230;14;28;0,41;57,5;France;Western Europe;Presses Universitaires de Grenoble;2019-2021;"Accounting (Q3); Economics and Econometrics (Q3); Finance (Q3); Marketing (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
129;5200152620;Event Management;journal;15259951;0,309;Q3;40;113;161;7634;259;159;1,57;67,56;United States;Northern America;Cognizant Communication Corporation;2006-2022;"Business and International Management (Q3); Marketing (Q3); Tourism, Leisure and Hospitality Management (Q3)";Business, Management and Accounting
130;21100782865;Real Estate Management and Valuation;journal;23005289;0,306;Q3;12;32;106;1340;125;106;1,14;41,88;Poland;Eastern Europe;De Gruyter Open Ltd.;2014-2022;"Economics and Econometrics (Q3); Finance (Q3); Marketing (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
131;18300156733;Foundations and Trends in Marketing;journal;15550761, 15550753;0,303;Q3;16;6;9;789;23;9;2,8;131,5;United States;Northern America;Now Publishers Inc;2006-2007, 2009-2022;"Economics and Econometrics (Q3); Marketing (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
132;5700153460;Publishing Research Quarterly;journal;19364792, 10538801;0,302;Q3;19;52;140;1364;146;140;1,02;26,23;United States;Northern America;Springer US;1991-2022;"Communication (Q2); Media Technology (Q2); Business and International Management (Q3); Computer Science Applications (Q3); Management of Technology and Innovation (Q3); Marketing (Q3)";"Business, Management and Accounting; Computer Science; Engineering; Social Sciences"
133;21100788292;Recherche et Applications en Marketing;journal;20515707;0,295;Q3;12;2;113;144;112;101;0,58;72;United States;Northern America;SAGE Publications Inc.;2014-2022;Marketing (Q3);Business, Management and Accounting
134;21100893575;Asian Journal of Business Research;journal;24634522, 17788933;0,291;Q3;8;22;64;1566;132;61;1,69;71,18;New Zealand;Pacific Region;;2018-2022;"Political Science and International Relations (Q2); Sociology and Political Science (Q2); Business and International Management (Q3); Marketing (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Social Sciences"
135;19300156920;International Journal of Sport Finance;journal;15586235, 1930076X;0,285;Q3;28;0;44;0;51;44;0,96;0;United States;Northern America;Fitness Information Technology;2008-2021;"Business and International Management (Q3); Finance (Q3); Marketing (Q3); Sports Science (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance; Health Professions"
136;130090;Journal of Electronic Commerce in Organizations;journal;15392937;0,281;Q3;25;6;65;376;123;65;2,27;62,67;United States;Northern America;IGI Publishing;2005-2022;"Computer Networks and Communications (Q3); Computer Science Applications (Q3); Marketing (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Computer Science"
137;4700152802;Journal of Business and Finance Librarianship;journal;15470644, 08963568;0,276;Q3;19;22;51;491;48;51;1,1;22,32;United States;Northern America;Routledge;1990-1992, 1994, 1996-2022;"Library and Information Sciences (Q2); Management Information Systems (Q3); Marketing (Q3); E-learning (Q4)";"Business, Management and Accounting; Social Sciences"
138;21100822827;Communication Today;journal;1338130X;0,266;Q3;8;13;72;420;52;70;0,61;32,31;Slovakia;Eastern Europe;University of SS. Cyril and Methodius, Faculty of Mass Media Communication;2017-2022;"Communication (Q2); Marketing (Q3)";"Business, Management and Accounting; Social Sciences"
139;21300;Health Marketing Quarterly;journal;15450864, 07359683;0,266;Q3;30;38;72;1744;90;71;1,06;45,89;United States;Northern America;Routledge;1983-2022;"Health Professions (miscellaneous) (Q3); Marketing (Q3)";"Business, Management and Accounting; Health Professions"
140;21100403907;Journal of Historical Research in Marketing;journal;17557518, 1755750X;0,264;Q3;19;24;57;1507;31;53;0,58;62,79;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;2009-2022;Marketing (Q3);Business, Management and Accounting
141;21101089124;Retos(Ecuador);journal;13906291, 13908618;0,259;Q3;6;20;40;1265;56;40;0,86;63,25;Ecuador;Latin America;Universidad Politecnica Salesiana;2022;"Business and International Management (Q3); Economics and Econometrics (Q3); Management of Technology and Innovation (Q3); Marketing (Q3); Public Administration (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
142;21100899296;Innovative Marketing;journal;18142427, 18166326;0,251;Q3;19;70;136;3879;228;136;1,68;55,41;Ukraine;Eastern Europe;LLC CPC Business Perspectives;2005-2022;"Economics, Econometrics and Finance (miscellaneous) (Q3); Management of Technology and Innovation (Q3); Marketing (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
143;4000151815;International Journal of Internet Marketing and Advertising;journal;14775212, 17418100;0,251;Q3;23;29;73;2233;98;71;1,15;77;United Kingdom;Western Europe;Inderscience Enterprises Ltd.;2004-2022;Marketing (Q3);Business, Management and Accounting
144;21101045319;Iranian journal of Management Studies;journal;20087055, 23453745;0,25;Q3;7;49;71;3240;109;70;1,54;66,12;Iran;Middle East;University of Tehran, College of Farabi;2020-2022;"Business and International Management (Q3); Business, Management and Accounting (miscellaneous) (Q3); Marketing (Q3); Strategy and Management (Q3)";Business, Management and Accounting
145;21100855999;Journal of Eastern European and Central Asian Research;journal;23288280, 23288272;0,247;Q3;9;92;113;3538;160;109;1,63;38,46;United States;Northern America;Institute of Eastern Europe and Central Asia;2014-2022;"Business and International Management (Q3); Economics and Econometrics (Q3); Finance (Q3); Marketing (Q3); Organizational Behavior and Human Resource Management (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
146;21100894552;Journal of Advertising Education;journal;10980482, 25161873;0,245;Q3;6;14;46;343;27;35;0,54;24,5;United States;Northern America;SAGE Publications Ltd;2015-2022;"Communication (Q3); Education (Q3); Marketing (Q3)";"Business, Management and Accounting; Social Sciences"
147;21100212700;RAE Revista de Administracao de Empresas;journal;2178938X, 00347590;0,244;Q3;20;62;127;3291;121;115;0,81;53,08;Brazil;Latin America;Fundacao Getulio Vargas, Escola de Administracao de Empresas de Sao Paulo;2007-2022;"Business and International Management (Q3); Business, Management and Accounting (miscellaneous) (Q3); Development (Q3); Education (Q3); Industrial Relations (Q3); Information Systems and Management (Q3); Management of Technology and Innovation (Q3); Marketing (Q3); Organizational Behavior and Human Resource Management (Q3); Public Administration (Q3); Strategy and Management (Q3); Management Science and Operations Research (Q4)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
148;21100241711;Indian Journal of Marketing;journal;9738703;0,243;Q3;12;45;118;2127;171;117;1,65;47,27;India;Asiatic Region;Associated Management Consultants Private Limited;2010-2022;Marketing (Q3);Business, Management and Accounting
149;26283;Revista Galega de Economia;journal;11322799, 22555951;0,241;Q3;9;17;89;878;49;85;0,56;51,65;Spain;Western Europe;Universidad de Santiago de Compostela;2001, 2003-2022;"Business, Management and Accounting (miscellaneous) (Q3); Demography (Q3); Development (Q3); Economics and Econometrics (Q3); Finance (Q3); Marketing (Q3); Organizational Behavior and Human Resource Management (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
150;21101058047;BioProducts Business;journal;23781394;0,239;Q3;4;2;19;157;17;19;1;78,5;United States;Northern America;Society of Wood Science and Technology;2021-2022;"Forestry (Q3); Management of Technology and Innovation (Q3); Marketing (Q3); Strategy and Management (Q3)";"Agricultural and Biological Sciences; Business, Management and Accounting"
151;23201;Food Science and Technology Research;journal;13446606;0,235;Q3;49;54;295;1779;291;295;0,65;32,94;Switzerland;Western Europe;Japanese Society for Food Science and Technology;1999-2022;"Biotechnology (Q3); Chemical Engineering (miscellaneous) (Q3); Food Science (Q3); Industrial and Manufacturing Engineering (Q3); Marketing (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Business, Management and Accounting; Chemical Engineering; Engineering"
152;21100836592;International Journal of Technology Marketing;journal;17418798, 1741878X;0,234;Q3;15;27;55;1625;61;55;0,8;60,19;Switzerland;Western Europe;Inderscience Publishers;2005-2022;"Marketing (Q3); Computer Science Applications (Q4)";"Business, Management and Accounting; Computer Science"
153;21100857397;International Journal of E-Services and Mobile Applications;journal;1941627X, 19416288;0,232;Q3;11;26;62;2005;91;62;1,26;77,12;United States;Northern America;IGI Global Publishing;2017-2022;"Computer Networks and Communications (Q3); Management Information Systems (Q3); Marketing (Q3); Strategy and Management (Q3); Computer Science Applications (Q4)";"Business, Management and Accounting; Computer Science"
154;21100920052;International Journal of Business and Emerging Markets;journal;17536227, 17536219;0,228;Q3;6;21;64;1453;56;64;0,84;69,19;United Kingdom;Western Europe;Inderscience Enterprises Ltd.;2019-2022;"Business and International Management (Q3); Economics and Econometrics (Q3); Marketing (Q3); Strategy and Management (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance"
155;21100407655;Banks and Bank Systems;journal;19917074, 18167403;0,226;Q3;19;69;217;2966;266;217;1,31;42,99;Ukraine;Eastern Europe;Business Perspectives;2006-2022;"Law (Q2); Business, Management and Accounting (miscellaneous) (Q3); Economics, Econometrics and Finance (miscellaneous) (Q3); Finance (Q3); Management of Technology and Innovation (Q3); Marketing (Q3); Organizational Behavior and Human Resource Management (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
157;4700153009;International Journal of Sport Management and Marketing;journal;14758962, 17402808;0,218;Q3;29;20;65;1433;56;65;0,6;71,65;United Kingdom;Western Europe;Inderscience Enterprises Ltd.;2005-2022;"Business and International Management (Q3); Marketing (Q3); Management Science and Operations Research (Q4); Sports Science (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Decision Sciences; Health Professions"
